"","community","number_of_violent_crimes_per_1000_population","Average_School_Rating","Normalized_Average_SSL","Total_Park_Area_(m2)","Number_of_Hospitals","Number_of_Teen_Moms_/_1000_Female_Teenagers","Number_of_Infant_Mortality_/_1000_Live_Births","Percent_of_Hispanic_(%)","Percent_of_Black_(%)","Percent_of_White_(%)","Percent_of_Asian_(%)","Percent_of_Other_Race_(%)","Percent_of_Children_in_Poverty_(%)"
"1",1,"crimes (548,1.02e+03]","school (3.57,3.86]","SSL (274,279]","park (2.43e+05,2.88e+05]","hospital 0","teenMoms (47.8,60.4]","infactMortality (5.63,6.5]","hispanic (23.6,53.8]","black (-0.097,24]","white (30.6,50.8]","asian (3.6,5.2]","other 3","childPoverty (30.5,39.2]"
"2",2,"crimes (313,451]","school (3.26,3.57]","SSL (285,288]","park (5.92e+05,7.61e+05]","hospital 0","teenMoms (22.8,47.8]","infactMortality (4.6,5.1]","hispanic (11.8,23.6]","black (-0.097,24]","white (30.6,50.8]","asian (16.4,49]","other 4","childPoverty (30.5,39.2]"
"3",3,"crimes (451,548]","school (3.26,3.57]","SSL (266,274]","park (1.2e+06,2.28e+06]","hospital 4","teenMoms (47.8,60.4]","infactMortality (5.63,6.5]","hispanic (11.8,23.6]","black (-0.097,24]","white (50.8,84.1]","asian (10,16.4]","other 3","childPoverty (27.5,30.5]"
"4",4,"crimes (105,313]","school (4.05,5]","SSL (281,283]","park (3.4e+05,5.92e+05]","hospital 3","teenMoms (22.8,47.8]","infactMortality (3.73,4.6]","hispanic (11.8,23.6]","black (-0.097,24]","white (50.8,84.1]","asian (5.2,10]","other 4","childPoverty (11.4,19.4]"
"5",5,"crimes (105,313]","school (3.26,3.57]","SSL (281,283]","park (1.36e+05,1.64e+05]","hospital 0","teenMoms (22.8,47.8]","infactMortality (1.48,3.73]","hispanic (4,11.8]","black (-0.097,24]","white (50.8,84.1]","asian (3.6,5.2]","other 3","childPoverty (2.63,11.4]"
"6",6,"crimes (313,451]","school (4.05,5]","SSL (285,288]","park (7.61e+05,1.2e+06]","hospital 2","teenMoms (2.14,22.8]","infactMortality (1.48,3.73]","hispanic (4,11.8]","black (-0.097,24]","white (50.8,84.1]","asian (5.2,10]","other 3","childPoverty (2.63,11.4]"
"7",7,"crimes (105,313]","school (2.14,3]","SSL (281,283]","park (1.2e+06,2.28e+06]","hospital 1","teenMoms (2.14,22.8]","infactMortality (1.48,3.73]","hispanic (4,11.8]","black (-0.097,24]","white (50.8,84.1]","asian (5.2,10]","other 3","childPoverty (2.63,11.4]"
"8",8,"crimes (548,1.02e+03]","school (4.05,5]","SSL (281,283]","park (2.43e+05,2.88e+05]","hospital 2","teenMoms (47.8,60.4]","infactMortality (5.63,6.5]","hispanic (4,11.8]","black (-0.097,24]","white (50.8,84.1]","asian (5.2,10]","other 2","childPoverty (19.4,27.5]"
"9",9,"crimes (105,313]","school (3.86,4.05]","SSL (266,274]","park (5.37e+04,8.69e+04]","hospital 0","teenMoms (2.14,22.8]","infactMortality (3.73,4.6]","hispanic (4,11.8]","black (-0.097,24]","white (50.8,84.1]","asian (2,3]","other 1","childPoverty (2.63,11.4]"
"10",10,"crimes (105,313]","school (3.86,4.05]","SSL (279,281]","park (1.64e+05,1.94e+05]","hospital 1","teenMoms (2.14,22.8]","infactMortality (3.73,4.6]","hispanic (4,11.8]","black (-0.097,24]","white (50.8,84.1]","asian (2,3]","other 2","childPoverty (2.63,11.4]"
"11",11,"crimes (105,313]","school (3.86,4.05]","SSL (266,274]","park (5.37e+04,8.69e+04]","hospital 0","teenMoms (2.14,22.8]","infactMortality (8.1,8.97]","hispanic (11.8,23.6]","black (-0.097,24]","white (50.8,84.1]","asian (5.2,10]","other 2","childPoverty (2.63,11.4]"
"12",12,"crimes (105,313]","school (4.05,5]","SSL (266,274]","park (1.36e+05,1.64e+05]","hospital 0","teenMoms (2.14,22.8]","infactMortality (3.73,4.6]","hispanic (11.8,23.6]","black (-0.097,24]","white (50.8,84.1]","asian (5.2,10]","other 3","childPoverty (2.63,11.4]"
"13",13,"crimes (105,313]","school (2.14,3]","SSL (285,288]","park (5.92e+05,7.61e+05]","hospital 0","teenMoms (2.14,22.8]","infactMortality (5.1,5.63]","hispanic (11.8,23.6]","black (-0.097,24]","white (50.8,84.1]","asian (16.4,49]","other 2","childPoverty (2.63,11.4]"
"14",14,"crimes (313,451]","school (2.14,3]","SSL (288,292]","park (8.69e+04,1.36e+05]","hospital 0","teenMoms (47.8,60.4]","infactMortality (4.6,5.1]","hispanic (23.6,53.8]","black (-0.097,24]","white (13,30.6]","asian (16.4,49]","other 3","childPoverty (30.5,39.2]"
"15",15,"crimes (313,451]","school (3.86,4.05]","SSL (274,279]","park (2.88e+05,3.4e+05]","hospital 1","teenMoms (22.8,47.8]","infactMortality (4.6,5.1]","hispanic (23.6,53.8]","black (-0.097,24]","white (30.6,50.8]","asian (3.6,5.2]","other 2","childPoverty (19.4,27.5]"
"16",16,"crimes (313,451]","school (3.86,4.05]","SSL (285,288]","park (3.4e+05,5.92e+05]","hospital 1","teenMoms (47.8,60.4]","infactMortality (5.1,5.63]","hispanic (23.6,53.8]","black (-0.097,24]","white (30.6,50.8]","asian (5.2,10]","other 3","childPoverty (11.4,19.4]"
"17",17,"crimes (105,313]","school (2.14,3]","SSL (274,279]","park (1.94e+05,2.43e+05]","hospital 1","teenMoms (2.14,22.8]","infactMortality (4.6,5.1]","hispanic (23.6,53.8]","black (-0.097,24]","white (50.8,84.1]","asian (3.6,5.2]","other 1","childPoverty (11.4,19.4]"
"18",18,"crimes (105,313]","school (2.14,3]","SSL (266,274]","park (4.96e+03,5.37e+04]","hospital 1","teenMoms (22.8,47.8]","infactMortality (3.73,4.6]","hispanic (23.6,53.8]","black (-0.097,24]","white (30.6,50.8]","asian (3.6,5.2]","other 1","childPoverty (11.4,19.4]"
"19",19,"crimes (451,548]","school (3,3.26]","SSL (285,288]","park (2.43e+05,2.88e+05]","hospital 0","teenMoms (60.4,77.4]","infactMortality (5.1,5.63]","hispanic (53.8,86.1]","black (-0.097,24]","white (13,30.6]","asian (1,2]","other 1","childPoverty (27.5,30.5]"
"20",20,"crimes (451,548]","school (3.86,4.05]","SSL (283,285]","park (5.37e+04,8.69e+04]","hospital 0","teenMoms (77.4,90.2]","infactMortality (8.97,10.3]","hispanic (53.8,86.1]","black (-0.097,24]","white (13,30.6]","asian (2,3]","other 1","childPoverty (27.5,30.5]"
"21",21,"crimes (451,548]","school (3.57,3.86]","SSL (274,279]","park (4.96e+03,5.37e+04]","hospital 0","teenMoms (60.4,77.4]","infactMortality (5.63,6.5]","hispanic (53.8,86.1]","black (-0.097,24]","white (13,30.6]","asian (2,3]","other 3","childPoverty (27.5,30.5]"
"22",22,"crimes (451,548]","school (3.86,4.05]","SSL (279,281]","park (1.64e+05,1.94e+05]","hospital 0","teenMoms (60.4,77.4]","infactMortality (3.73,4.6]","hispanic (23.6,53.8]","black (-0.097,24]","white (30.6,50.8]","asian (2,3]","other 2","childPoverty (19.4,27.5]"
"23",23,"crimes (1.02e+03,1.56e+03]","school (3.26,3.57]","SSL (281,283]","park (5.37e+04,8.69e+04]","hospital 2","teenMoms (90.2,119]","infactMortality (8.97,10.3]","hispanic (53.8,86.1]","black (24,97.1]","white (5,13]","asian (1,2]","other 2","childPoverty (45.8,51.4]"
"24",24,"crimes (548,1.02e+03]","school (3.86,4.05]","SSL (281,283]","park (7.61e+05,1.2e+06]","hospital 3","teenMoms (60.4,77.4]","infactMortality (4.6,5.1]","hispanic (23.6,53.8]","black (-0.097,24]","white (50.8,84.1]","asian (2,3]","other 3","childPoverty (19.4,27.5]"
