,support,itemsets
0,0.6410256410256411,"frozenset({'asian (-0.049,4.9]'})"
1,0.6282051282051282,"frozenset({'black (-0.097,48.5]'})"
2,0.5,"frozenset({'crimes (105,550]'})"
3,0.5256410256410257,"frozenset({'hispanic (0.915,18]'})"
4,0.6282051282051282,frozenset({'hospital 0'})
5,0.44871794871794873,"frozenset({'park (4.96e+03,1.97e+05]'})"
6,0.48717948717948717,"frozenset({'white (-0.084,16.8]'})"
7,0.4230769230769231,"frozenset({'hospital 0', 'asian (-0.049,4.9]'})"
8,0.4358974358974359,"frozenset({'white (-0.084,16.8]', 'asian (-0.049,4.9]'})"
9,0.48717948717948717,"frozenset({'crimes (105,550]', 'black (-0.097,48.5]'})"
