"","id","name","rating","status","ward","rating_num"
"1",610592,"ENGLEWOOD STEM HS","INABILITY TO RATE","NOT APPLICABLE",14,-1
"2",610591,"NATIONAL TEACHERS HS","INABILITY TO RATE","NOT APPLICABLE",3,-1
"3",610506,"TEAM HS","LEVEL 3","INTENSIVE SUPPORT",28,1
"4",400045,"NKRUMAH","LEVEL 3","NOT APPLICABLE",30,1
"5",609884,"DEVER","LEVEL 1","GOOD STANDING",35,4
"6",400102,"URBAN PREP - WEST HS","LEVEL 2","NOT APPLICABLE",29,2
"7",610350,"BLACK","LEVEL 1+","GOOD STANDING",26,5
"8",400081,"ACERO - DE LAS CASAS","LEVEL 2+","NOT APPLICABLE",8,3
"9",610207,"VANDERPOEL","LEVEL 1","GOOD STANDING",16,4
"10",610249,"TALMAN","LEVEL 1+","GOOD STANDING",32,5
"11",610530,"SOUTH SHORE ES","LEVEL 1","GOOD STANDING",21,4
"12",610084,"KELLER","LEVEL 1+","GOOD STANDING",33,5
"13",400035,"CHICAGO MATH & SCIENCE HS","LEVEL 1+","NOT APPLICABLE",9,5
"14",400139,"YCCS - SULLIVAN","LEVEL 1","NOT APPLICABLE",20,4
"15",610357,"SPRY HS","LEVEL 2+","GOOD STANDING",36,3
"16",610548,"STEM","LEVEL 1+","GOOD STANDING",18,5
"17",609760,"CARVER MILITARY HS","LEVEL 1+","GOOD STANDING",17,5
"18",610010,"JAHN","LEVEL 1","PROVISIONAL SUPPORT",21,4
"19",609711,"HARPER HS","LEVEL 2","INTENSIVE SUPPORT",39,2
"20",610099,"NORWOOD PARK","LEVEL 1+","GOOD STANDING",49,5
"21",610364,"DUBOIS","LEVEL 1","GOOD STANDING",25,4
"22",400165,"LEARN - MIDDLE","LEVEL 2","NOT APPLICABLE",1,2
"23",610228,"WHITTIER","LEVEL 2+","GOOD STANDING",24,3
"24",610503,"FRAZIER PROSPECTIVE","LEVEL 2+","GOOD STANDING",27,3
"25",400113,"CICS - CHICAGOQUEST HS","LEVEL 2+","NOT APPLICABLE",24,3
"26",610030,"KOZMINSKI","LEVEL 2+","PROVISIONAL SUPPORT",34,3
"27",610515,"DISNEY II ES","LEVEL 1+","GOOD STANDING",24,5
"28",400161,"CHICAGO COLLEGIATE","LEVEL 2","NOT APPLICABLE",27,2
"29",609754,"CHICAGO MILITARY HS","LEVEL 1","GOOD STANDING",27,4
"30",400009,"GLOBAL CITIZENSHIP","LEVEL 1+","NOT APPLICABLE",24,5
"31",610197,"TALCOTT","LEVEL 1+","GOOD STANDING",12,5
"32",609872,"PEREZ","LEVEL 1+","GOOD STANDING",2,5
"33",610590,"BRONZEVILLE CLASSICAL",NA,NA,5,-1
"34",609794,"EDISON","LEVEL 1+","GOOD STANDING",27,5
"35",610029,"LOZANO","LEVEL 1+","GOOD STANDING",35,5
"36",400164,"INSTITUTO - LOZANO HS","LEVEL 1+","NOT APPLICABLE",1,5
"37",609952,"GREENE","LEVEL 2+","GOOD STANDING",27,3
"38",400050,"NAMASTE","LEVEL 1","NOT APPLICABLE",28,4
"39",400127,"YCCS - AUSTIN CAREER","LEVEL 1","NOT APPLICABLE",24,4
"40",610013,"PILSEN","LEVEL 1","GOOD STANDING",24,4
"41",609880,"DECATUR","LEVEL 1+","GOOD STANDING",40,5
"42",610033,"LASALLE","LEVEL 1","GOOD STANDING",21,4
"43",400170,"NOBLE - ACADEMY HS","LEVEL 1+","NOT APPLICABLE",21,5
"44",610131,"PLAMONDON","LEVEL 1+","GOOD STANDING",3,5
"45",609780,"MARINE LEADERSHIP AT AMES HS","LEVEL 1","GOOD STANDING",3,4
"46",400151,"LEARN - 7","LEVEL 2+","NOT APPLICABLE",29,3
"47",610384,"INFINITY HS","LEVEL 1+","GOOD STANDING",27,5
"48",610218,"WARREN","LEVEL 2+","GOOD STANDING",16,3
"49",400157,"NOBLE - BAKER HS","LEVEL 2+","NOT APPLICABLE",4,3
"50",609751,"KING HS","LEVEL 1+","GOOD STANDING",4,5
"51",400156,"NOBLE - BUTLER HS","LEVEL 2+","NOT APPLICABLE",20,3
"52",609744,"NORTHSIDE LEARNING HS","INABILITY TO RATE","GOOD STANDING",3,-1
"53",400159,"CHRISTOPHER HOUSE","LEVEL 1+","NOT APPLICABLE",14,5
"54",610157,"SAWYER","LEVEL 2","PROVISIONAL SUPPORT",14,2
"55",609753,"CHICAGO AGRICULTURE HS","LEVEL 1+","GOOD STANDING",25,5
"56",400112,"ACERO - IDAR","LEVEL 1","NOT APPLICABLE",33,4
"57",610504,"THOMAS","INABILITY TO RATE","GOOD STANDING",24,-1
"58",609863,"COLUMBUS","LEVEL 1","GOOD STANDING",14,4
"59",610298,"LENART","LEVEL 1+","GOOD STANDING",14,5
"60",610521,"DAVIS M","LEVEL 1","GOOD STANDING",20,4
"61",609996,"HOLDEN","LEVEL 1+","GOOD STANDING",4,5
"62",400178,"MOVING EVEREST","INABILITY TO RATE","NOT APPLICABLE",15,-1
"63",609755,"YOUNG HS","LEVEL 1+","GOOD STANDING",25,5
"64",610123,"PENN","LEVEL 2","PROVISIONAL SUPPORT",9,2
"65",609895,"TURNER-DREW","LEVEL 1+","GOOD STANDING",7,5
"66",610143,"REAVIS","LEVEL 1+","GOOD STANDING",2,5
"67",610200,"THORP J","LEVEL 2","INTENSIVE SUPPORT",27,2
