"","number","name","avg_rating"
"61",1,"ROGERS PARK",3.57142857142857
"75",2,"WEST RIDGE",3.5
"67",3,"UPTOWN",3.42857142857143
"40",4,"LINCOLN SQUARE",4.2
"52",5,"NORTH CENTER",3.42857142857143
"38",6,"LAKE VIEW",4.1
"39",7,"LINCOLN PARK",2.71428571428571
"48",8,"NEAR NORTH SIDE",4.11111111111111
"23",9,"EDISON PARK",4
"55",10,"NORWOOD PARK",3.875
"36",11,"JEFFERSON PARK",4
"25",12,"FOREST GLEN",4.33333333333333
"54",13,"NORTH PARK",3
"1",14,"ALBANY PARK",2.66666666666667
"58",15,"PORTAGE PARK",4
"35",16,"IRVING PARK",3.90909090909091
"19",17,"DUNNING",2.16666666666667
"45",18,"MONTCLARE",3
"9",19,"BELMONT CRAGIN",3.1875
"32",20,"HERMOSA",4
"8",21,"AVONDALE",3.66666666666667
"41",22,"LOGAN SQUARE",4
"33",23,"HUMBOLDT PARK",3.41176470588235
"76",24,"WEST TOWN",4.04166666666667
"6",25,"AUSTIN",3.08333333333333
"72",26,"WEST GARFIELD PARK",4
"20",27,"EAST GARFIELD PARK",3.06666666666667
"50",28,"NEAR WEST SIDE",3.8695652173913
"53",29,"NORTH LAWNDALE",3.19047619047619
"65",30,"SOUTH LAWNDALE",3.83333333333333
"43",31,"LOWER WEST SIDE",3.26666666666667
"42",32,"LOOP",3.66666666666667
"49",33,"NEAR SOUTH SIDE",3.5
"3",34,"ARMOUR SQUARE",3
"18",35,"DOUGLAS",4
"56",36,"OAKLAND",3
"26",37,"FULLER PARK",4
"29",38,"GRAND BOULEVARD",2.71428571428571
"37",39,"KENWOOD",3
"69",40,"WASHINGTON PARK",3
"34",41,"HYDE PARK",2.75
"77",42,"WOODLAWN",3.14285714285714
"66",43,"SOUTH SHORE",3.27272727272727
"15",44,"CHATHAM",3.7
"7",45,"AVALON PARK",3.8
"63",46,"SOUTH CHICAGO",3.27272727272727
"13",47,"BURNSIDE",5
"14",48,"CALUMET HEIGHTS",3.6
"62",49,"ROSELAND",3
"59",50,"PULLMAN",2.14285714285714
"64",51,"SOUTH DEERING",4.66666666666667
"21",52,"EAST SIDE",3.83333333333333
"74",53,"WEST PULLMAN",3.11111111111111
"60",54,"RIVERDALE",2.8
"31",55,"HEGEWISCH",4.5
"28",56,"GARFIELD RIDGE",3.16666666666667
"2",57,"ARCHER HEIGHTS",4.2
"12",58,"BRIGHTON PARK",2.78571428571429
"44",59,"MCKINLEY PARK",4.8
"11",60,"BRIDGEPORT",3.6
"51",61,"NEW CITY",4.0625
"70",62,"WEST ELSDON",3.33333333333333
"27",63,"GAGE PARK",3.35714285714286
"17",64,"CLEARING",4.25
"73",65,"WEST LAWN",3.6
"16",66,"CHICAGO LAWN",3.88888888888889
"71",67,"WEST ENGLEWOOD",3.41666666666667
"24",68,"ENGLEWOOD",4.05882352941176
"30",69,"GREATER GRAND CROSSING",3.63636363636364
"4",70,"ASHBURN",3.72727272727273
"5",71,"AUBURN GRESHAM",4.25
"10",72,"BEVERLY",2.5
"68",73,"WASHINGTON HEIGHTS",3.5
"47",74,"MOUNT GREENWOOD",2.75
"46",75,"MORGAN PARK",3.25
"57",76,"OHARE",3
"22",77,"EDGEWATER",3.66666666666667
