community number,name,avg_rating
1,ROGERS PARK,277.6664296
2,WEST RIDGE,286.1914132
3,UPTOWN,266.0710708
4,LINCOLN SQUARE,281.7772657
5,NORTH CENTER,282.6642027
6,LAKE VIEW,287.7657464
7,LINCOLN PARK,281.5229682
8,NEAR NORTH SIDE,282.3622348
9,EDISON PARK,268.8789474
10,NORWOOD PARK,280.9495708
11,JEFFERSON PARK,272.443418
12,FOREST GLEN,268.3056604
13,NORTH PARK,285.9669565
14,ALBANY PARK,289.9816024
15,PORTAGE PARK,278.2982753
16,IRVING PARK,285.7101375
17,DUNNING,277.5048077
18,MONTCLARE,270.6725
19,BELMONT CRAGIN,285.1394385
20,HERMOSA,283.1986715
21,AVONDALE,278.6958637
22,LOGAN SQUARE,279.9452441
23,HUMBOLDT PARK,281.2468665
24,WEST TOWN,281.7607644
25,AUSTIN,282.1708571
26,WEST GARFIELD PARK,274.1859425
27,EAST GARFIELD PARK,280.7598535
28,NEAR WEST SIDE,273.7093842
29,NORTH LAWNDALE,281.3822882
30,SOUTH LAWNDALE,285.8146912
31,LOWER WEST SIDE,287.6378919
32,LOOP,277.3011403
33,NEAR SOUTH SIDE,275.1937282
34,ARMOUR SQUARE,283.3067227
35,DOUGLAS,290.0970488
36,OAKLAND,293.1723164
37,FULLER PARK,280.6517755
38,GRAND BOULEVARD,274.7472661
39,KENWOOD,285.1371994
40,WASHINGTON PARK,282.060981
41,HYDE PARK,273.4099849
42,WOODLAWN,286.2464018
43,SOUTH SHORE,282.5055188
44,CHATHAM,281.4807923
45,AVALON PARK,302.5330144
46,SOUTH CHICAGO,286.757083
47,BURNSIDE,297.0648855
48,CALUMET HEIGHTS,280.1544196
49,ROSELAND,284.3651053
50,PULLMAN,300.0718778
51,SOUTH DEERING,287.0484555
52,EAST SIDE,290.8932412
53,WEST PULLMAN,282.7009682
54,RIVERDALE,294.5219012
55,HEGEWISCH,278.4365385
56,GARFIELD RIDGE,276.7469935
57,ARCHER HEIGHTS,304.1067616
58,BRIGHTON PARK,292.3228346
59,MCKINLEY PARK,281.5125409
60,BRIDGEPORT,281.5540037
61,NEW CITY,284.8201599
62,WEST ELSDON,296.0015152
63,GAGE PARK,295.7915146
64,CLEARING,280.4023529
65,WEST LAWN,300.757721
66,CHICAGO LAWN,287.6092296
67,WEST ENGLEWOOD,284.7987662
68,ENGLEWOOD,287.8966507
69,GREATER GRAND CROSSING,287.158371
70,ASHBURN,291.6646865
71,AUBURN GRESHAM,284.2087066
72,BEVERLY,278.645933
73,WASHINGTON HEIGHTS,288.1842001
74,MOUNT GREENWOOD,287.5516224
75,MORGAN PARK,288.9609423
76,OHARE,270.9003906
77,EDGEWATER,273.0932432
