"","Community","communityAreaNumber","Hispanic","Black","White","Asian","Other","PercentChildrenInPoverty"
"1","Rogers Park",1,0.24,0.24,0.45,0.05,0.03,0.319509336767547
"2","West Ridge",2,0.2,0.13,0.41,0.21,0.04,0.372624026240262
"3","Uptown",3,0.16,0.19,0.51,0.11,0.03,0.278423504120387
"4","Lincoln Square",4,0.18,0.06,0.62,0.1,0.04,0.168878488472872
"5","North Center",5,0.11,0.09,0.73,0.04,0.03,0.0586692818346409
"6","Lake View",6,0.09,0.03,0.77,0.08,0.03,0.0562689302594772
"7","Lincoln Park",7,0.09,0.04,0.78,0.06,0.03,0.0763260652700584
"8","Near North Side",8,0.09,0.11,0.67,0.1,0.02,0.221287629648368
"9","Edison Park",9,0.07,0.05,0.84,0.03,0.01,0.0270019342359768
"10","Norwood Park",10,0.11,0,0.83,0.03,0.02,0.034885696945175
"11","Jefferson Park",11,0.21,0.01,0.67,0.09,0.02,0.0805882352941177
"12","Forest Glen",12,0.13,0.01,0.73,0.1,0.03,0.0595007052186178
"13","North Park",13,0.23,0.02,0.57,0.17,0.02,0.0896382978723404
"14","Albany Park",14,0.47,0.04,0.28,0.18,0.03,0.32
"15","Portage Park",15,0.44,0.02,0.47,0.05,0.02,0.195296989422295
"16","Irving Park",16,0.43,0.03,0.43,0.08,0.03,0.140582818762864
"17","Dunning",17,0.31,0.02,0.62,0.04,0.01,0.154090979182729
"18","Montclare",18,0.49,0.04,0.42,0.04,0.01,0.168918032786885
"19","Belmont Cragin",19,0.77,0.05,0.15,0.02,0.01,0.285736760606999
"20","Hermosa",20,0.79,0.02,0.15,0.03,0.01,0.304978833057243
"21","Avondale",21,0.63,0.02,0.3,0.03,0.03,0.280024565713283
"22","Logan Square",22,0.44,0.06,0.45,0.03,0.02,0.23472921108742
"23","Humboldt Park",23,0.6,0.27,0.09,0.02,0.02,0.467779661016949
"24","West Town",24,0.26,0.14,0.53,0.03,0.03,0.233859327217125
"25","Austin",25,0.17,0.75,0.07,0.01,0.01,0.425302569303584
"26","West Garfield Park",26,0.02,0.95,0.02,0,0,0.594509158263017
"27","East Garfield Park",27,0.06,0.89,0.05,0,0.01,0.515253046891138
"28","Near West Side",28,0.17,0.31,0.37,0.12,0.02,0.344515572922653
"29","North Lawndale",29,0.22,0.66,0.09,0.02,0.01,0.522387096774194
"30","South Lawndale",30,0.77,0.15,0.06,0.02,0.01,0.501101567825494
"31","Lower West Side",31,0.59,0.08,0.11,0.2,0.01,0.423938589211618
"32","Loop",32,0.23,0.13,0.5,0.12,0.02,0.342118055555556
"33","Near South Side",33,0.16,0.19,0.44,0.19,0.02,0.277995255041518
"34","Armour Square",34,0.04,0.16,0.29,0.49,0.03,0.211572016460905
"35","Douglas",35,0.06,0.5,0.26,0.16,0.03,0.457998706757194
"36","Oakland",36,0.05,0.75,0.13,0.05,0.02,0.175025125628141
"37","Fuller Park",37,0.4,0.39,0.21,0,0,0.494079207920792
"38","Grand Boulevard",38,0.09,0.84,0.05,0.01,0.02,0.443740926856505
"39","Kenwood",39,0.03,0.77,0.15,0.03,0.03,0.28734693877551
"40","Washington Park",40,0.02,0.83,0.07,0.06,0.02,0.471981790591806
"41","Hyde Park",41,0.07,0.39,0.39,0.1,0.04,0.301109799291618
"42","Woodlawn",42,0.04,0.77,0.12,0.04,0.02,0.491704622322435
"43","South Shore",43,0.02,0.95,0.02,0,0.02,0.528466226510919
"44","Chatham",44,0.02,0.86,0.1,0.01,0.01,0.49
"45","Avalon Park",45,0.02,0.97,0.01,0,0.01,0.284225680933852
"46","South Chicago",46,0.15,0.75,0.06,0.03,0.01,0.429274725274725
"47","Burnside",47,0.36,0.55,0.08,0,0.01,0.4475
"48","Calumet Heights",48,0.01,0.97,0.01,0,0.01,0.272406876790831
"49","Roseland",49,0.04,0.93,0.01,0,0.01,0.426344966028413
"50","Pullman",50,0.01,0.96,0.02,0.01,0.01,0.549755244755245
"51","South Deering",51,0.28,0.6,0.1,0,0.02,0.554591977869986
"52","East Side",52,0.62,0.24,0.13,0,0,0.394224396087043
"53","West Pullman",53,0.13,0.82,0.03,0,0.01,0.47833674723474
"54","Riverdale",54,0.03,0.96,0,0,0,0.745440567711413
"55","Hegewisch",55,0.32,0.37,0.3,0,0,0.630689461883408
"56","Garfield Ridge",56,0.55,0.06,0.38,0.01,0.01,0.131673015389304
