"","community","ARSON","ASSAULT","BATTERY","BURGLARY","CONCEALED CARRY LICENSE VIOLATION","CRIM SEXUAL ASSAULT","CRIMINAL DAMAGE","CRIMINAL TRESPASS","DECEPTIVE PRACTICE","GAMBLING","HOMICIDE","HUMAN TRAFFICKING","INTERFERENCE WITH PUBLIC OFFICER","INTIMIDATION","KIDNAPPING","LIQUOR LAW VIOLATION","MOTOR VEHICLE THEFT","NARCOTICS","NON - CRIMINAL","NON-CRIMINAL","NON-CRIMINAL (SUBJECT SPECIFIED)","NON-VIOLENT OFFENSE INVOLVING CHILDREN","OBSCENITY","OTHER NARCOTIC VIOLATION","OTHER OFFENSE","PROSTITUTION","PUBLIC INDECENCY","PUBLIC PEACE VIOLATION","RITUALISM","ROBBERY","SEX OFFENSE","STALKING","THEFT","VIOLENT OFFENSE INVOLVING CHILDREN","WEAPONS VIOLATION"
"1",1,89,5500,17324,4958,NA,429,11151,3743,3798,167,89,NA,267,44,70,278,2677,9405,NA,2,NA,234,10,3,6456,930,2,590,NA,4003,474,44,19843,400,793
"2",2,100,4118,11852,5687,1,266,11742,1569,3550,73,47,NA,134,42,90,206,3768,3908,NA,1,1,206,16,1,5818,139,2,428,NA,2493,339,47,18802,365,434
"3",3,71,5470,15148,3510,1,463,8304,3599,5471,95,83,NA,162,45,47,235,2980,10591,NA,5,NA,224,8,3,5526,797,2,832,NA,2718,672,32,21757,268,463
"4",4,39,2127,6447,2991,1,163,6132,1116,2413,56,16,NA,54,31,45,181,2021,1725,NA,3,NA,103,3,2,3154,196,4,393,NA,1008,243,32,11881,125,163
"5",5,45,1484,3757,3508,NA,127,4996,1639,2364,30,16,NA,45,39,34,117,1636,1422,NA,3,NA,118,10,NA,2295,125,1,188,NA,838,142,34,11561,73,122
"6",6,86,4009,14838,9311,2,534,12566,3519,9585,18,36,1,145,52,34,432,4456,3852,NA,13,NA,128,12,16,5408,628,8,850,NA,4568,518,59,44895,114,269
"7",7,47,2561,8577,7248,2,298,11230,2920,6432,16,16,1,58,22,46,372,3887,1605,NA,1,NA,102,4,3,3282,344,8,338,NA,2718,373,39,42663,96,165
"8",8,63,7547,26913,4812,8,759,13412,12321,20254,103,92,NA,407,98,66,571,4396,10005,1,12,NA,230,14,7,7450,3914,18,1090,2,5225,591,109,86597,233,707
"9",9,12,325,985,308,NA,17,1225,147,431,3,1,NA,3,9,17,10,156,82,NA,NA,NA,22,2,NA,706,6,NA,35,NA,36,48,6,1286,19,8
"10",10,39,1469,3696,1648,NA,88,4691,655,1763,14,8,1,20,21,57,50,813,719,NA,3,NA,142,5,NA,2509,34,1,141,NA,220,142,16,6893,75,72
"11",11,36,1395,3529,1629,NA,58,3980,660,1537,17,15,NA,43,17,42,74,1156,892,3,2,NA,148,8,1,2318,10,1,145,NA,398,114,24,5757,93,83
"12",12,8,495,1095,1235,NA,27,2177,235,761,13,4,NA,9,4,29,18,426,318,NA,2,NA,29,NA,NA,928,8,NA,43,NA,108,38,11,2866,36,17
"13",13,36,906,2508,1917,NA,79,2930,451,994,27,10,NA,20,15,21,58,1130,970,NA,1,NA,76,4,7,1350,47,NA,130,NA,449,136,14,5943,62,120
"14",14,97,2934,9989,3601,1,236,7817,1348,1956,62,63,NA,105,45,50,271,3266,3148,NA,2,NA,182,3,6,3845,570,1,560,NA,2124,375,27,11259,274,423
"15",15,150,4092,11908,5277,1,246,11748,1687,3632,31,30,NA,126,53,84,301,4588,5198,1,1,NA,270,13,3,6675,364,1,482,NA,1852,342,34,18045,292,420
"16",16,151,3609,11656,5612,1,288,10796,1386,2596,44,48,NA,91,39,74,214,5344,3453,NA,1,NA,182,5,1,4708,87,1,593,NA,2050,392,44,15642,298,364
"17",17,68,2094,5593,3211,NA,90,6757,767,1883,39,14,NA,46,21,60,108,1967,1405,NA,1,NA,155,6,2,3627,10,NA,184,NA,670,186,19,8332,113,149
"18",18,31,814,2272,1258,NA,42,2350,189,613,13,10,NA,16,9,15,20,1121,411,NA,NA,NA,50,2,NA,1257,16,NA,85,NA,318,53,2,3405,66,43
"19",19,360,6926,19465,8597,7,463,15298,2182,4050,61,115,NA,339,102,156,312,8169,7031,NA,5,NA,428,5,2,8272,1326,3,977,NA,3944,544,37,22106,688,1113
"20",20,150,2319,7222,2697,NA,170,4696,592,1094,10,44,NA,115,11,55,110,2702,2945,NA,2,NA,130,5,1,2933,842,NA,406,NA,1259,182,17,5756,270,514
"21",21,152,3314,9139,4580,1,243,7714,1108,2428,29,66,NA,75,21,58,180,4481,2646,NA,NA,NA,149,10,NA,3626,279,NA,374,NA,2362,274,29,13727,276,355
"22",22,280,6837,19340,10205,NA,493,15776,2414,4785,30,130,NA,175,70,125,423,8319,6575,1,3,NA,344,11,4,7167,1558,3,791,1,4724,556,65,36732,554,818
"23",23,438,12205,38362,8094,2,736,17866,3137,3857,907,403,1,704,80,151,290,8925,45103,1,1,2,512,11,6,10251,3071,2,1258,NA,7370,555,83,25514,880,2599
"24",24,303,8746,24130,13904,2,564,23625,3814,6876,97,148,NA,213,97,83,647,9876,9268,1,4,NA,296,14,9,7722,2090,4,948,NA,6616,674,89,58388,399,1136
"25",25,633,23353,77517,15434,13,1665,34239,7309,9697,2405,776,5,1495,139,298,560,14738,90006,1,3,NA,811,24,3,23399,7640,6,2449,1,16549,1023,102,50669,1617,5168
"26",26,167,6218,22130,3394,6,416,8919,1776,3764,436,272,2,527,35,76,134,4138,32338,1,NA,NA,193,4,1,4789,3236,2,526,1,5185,233,28,12593,355,1620
"27",27,148,7696,24287,3646,7,410,9543,2267,2762,498,230,NA,418,68,73,137,4753,28045,1,NA,1,266,10,NA,5638,3174,2,712,NA,4801,291,65,14281,344,1535
"28",28,98,9794,26077,5876,8,628,16945,9355,9020,217,187,6,231,126,61,248,8735,12342,1,7,NA,526,20,3,8953,1858,4,1204,NA,6162,582,90,58993,372,923
"29",29,312,11042,38589,6998,13,720,16548,3561,3270,992,386,NA,508,73,90,217,6462,40547,2,2,NA,367,14,NA,9469,1444,2,1215,NA,7184,503,74,22048,705,2688
"30",30,296,7056,21047,4662,3,466,12271,1581,2256,43,253,NA,198,143,97,756,6624,8800,1,4,NA,317,10,1,8180,1244,3,2411,NA,4263,574,60,17157,695,1491
"31",31,133,4317,10563,2908,2,220,8429,1443,1909,9,106,NA,95,46,38,362,3657,4092,1,1,NA,173,10,1,3460,587,NA,1008,NA,1600,318,36,12996,300,765
"32",32,29,5824,11869,1972,NA,329,6608,6899,16960,20,19,3,151,108,36,253,2053,3373,NA,10,NA,112,8,10,5974,510,16,1191,NA,3810,539,99,74591,39,221
"33",33,31,2218,6425,1243,2,112,3506,7159,2729,32,33,NA,91,27,21,49,1489,3278,NA,3,NA,117,5,2,2661,55,NA,178,NA,1102,130,39,13537,74,171
"34",34,34,1084,3396,1092,NA,46,2719,1033,1621,87,16,NA,42,19,6,60,1212,1467,NA,1,NA,52,2,NA,964,44,2,105,NA,1332,84,14,5956,42,147
"35",35,36,4232,12985,1602,NA,265,4921,5932,2366,129,74,1,95,45,45,29,2488,12476,1,2,NA,148,2,NA,3555,76,1,307,NA,2602,208,32,13060,166,459
"36",36,20,1075,2924,720,1,63,1642,534,408,28,21,NA,12,10,9,2,662,1025,NA,1,NA,72,3,NA,1131,NA,1,48,NA,421,55,8,2346,70,120
