"","ward","acres"
"1",0,131.26375
"2",1,0.971428571428571
"3",2,2.59555555555556
"4",3,2.94384615384615
"5",4,9.38590909090909
"6",5,46.381875
"7",6,6.5975
"8",7,17.9511111111111
"9",8,8.70142857142857
"10",9,11.1436363636364
"11",10,53.0416666666667
"12",11,4.186875
"13",12,15.2685714285714
"14",13,10.80375
"15",14,7.64333333333333
"16",15,3.6175
"17",16,3.20571428571429
"18",17,55.5814285714286
"19",18,9.93
"20",19,7.76777777777778
"21",20,4.419
"22",21,8.15181818181818
"23",22,8.645
"24",23,2.31666666666667
"25",24,1.39944444444444
"26",25,5.05692307692308
"27",26,23.614
"28",27,3.37483333333333
"29",28,11.6289473684211
"30",29,28.0366666666667
"31",30,15.994
"32",31,5.096
"33",32,1.855
"34",33,8.132
"35",34,7.85909090909091
"36",35,2.475
"37",36,4.135
"38",37,2.93461538461538
"39",38,17.0633333333333
"40",39,10.67201731125
"41",40,6.67727272727273
"42",41,5.09066666666667
"43",42,2.27444444444444
"44",43,1.80384615384615
"45",44,0.421111111111111
"46",45,3.91363636363636
"47",46,2.4675
"48",47,4.35
"49",48,1.70909090909091
"50",49,3.64363636363636
"51",50,18.3275
