"","community","community name","population(2010)","violent_crime","total_crime"
"1",1,"Rogers Park",54991,33675,93773
"2",2,"West Ridge",71942,22925,76245
"3",3,"Uptown",56362,28882,89582
"4",4,"Lincoln Square",39493,11738,42868
"5",5,"North Center",31867,7619,36769
"6",6,"Lake View",94368,30338,120962
"7",7,"Lincoln Park",64116,17906,95474
"8",8,"Near North Side",80484,48450,208027
"9",9,"Edison Park",11187,1527,5905
"10",10,"Norwood Park",37023,6188,26005
"11",11,"Jefferson Park",25448,6270,24185
"12",12,"Forest Glen",18508,2000,10940
"13",13,"North Park",17931,4870,20411
"14",14,"Albany Park",51542,19152,54640
"15",15,"Portage Park",64124,21600,77947
"16",16,"Irving Park",53359,21422,69770
"17",17,"Dunning",41932,9823,37577
"18",18,"Montclare",13426,4036,14481
"19",19,"Belmont Cragin",78743,38335,113083
"20",20,"Hermosa",25010,13700,37249
"21",21,"Avondale",39262,18823,57696
"22",22,"Logan Square",72791,39093,129309
"23",23,"Humboldt Park",56323,71889,193377
"24",24,"West Town",82236,50060,180783
"25",25,"Austin",98514,146965,389747
"26",26,"West Garfield Park",18001,42217,113515
"27",27,"East Garfield Park",20567,45180,116109
"28",28,"Near West Side",54881,52152,179652
"29",29,"North Lawndale",35912,70306,176045
"30",30,"South Lawndale",79288,42616,102963
"31",31,"Lower West Side",35769,20835,59585
"32",32,"The Loop",29283,27687,143636
"33",33,"Near South Side",21390,11566,46519
"34",34,"Armour Square",13391,7590,22679
"35",35,"Douglas",18238,23945,68340
"36",36,"Oakland",5918,5227,13432
"37",37,"Fuller Park",2876,7929,20626
"38",38,"Grand Boulevard",21929,34542,84815
"39",39,"Kenwood",17841,12769,34801
"40",40,"Washington Park",11717,29830,65967
"41",41,"Hyde Park",25681,11526,38000
"42",42,"Woodlawn",23740,41339,100417
"43",43,"South Shore",52010,82763,199548
"44",44,"Chatham",31028,51458,130914
"45",45,"Avalon Park",10185,13216,31241
"46",46,"South Chicago",31198,48354,114140
"47",47,"Burnside",2916,3535,9147
"48",48,"Calumet Heights",13812,12025,33010
"49",49,"Roseland",44619,67885,163412
"50",50,"Pullman",7325,10193,24452
"51",51,"South Deering",15109,14862,39570
"52",52,"East Side",23042,10480,30689
"53",53,"West Pullman",29651,41690,100657
"54",54,"Riverdale",6482,13963,26897
"55",55,"Hegewisch",9426,4216,13297
"56",56,"Garfield Ridge",34513,13891,51086
"57",57,"Archer Heights",13393,6376,22106
"58",58,"Brighton Park",45368,21347,59975
"59",59,"McKinley Park",15612,7202,25537
"60",60,"Bridgeport",31977,11764,39388
"61",61,"New City",44377,51063,126985
"62",62,"West Elsdon",18109,6684,23809
"63",63,"Gage Park",39894,20446,56645
"64",64,"Clearing",23139,6649,24181
"65",65,"West Lawn",33355,12169,45938
"66",66,"Chicago Lawn",55628,61214,151894
"67",67,"West Englewood",35505,77868,180131
"68",68,"Englewood",30654,75037,163558
"69",69,"Greater Grand Crossing",32602,66549,150551
"70",70,"Ashburn",41081,19438,55666
"71",71,"Auburn Gresham",48743,71872,173157
"72",72,"Beverly",20034,5533,22081
"73",73,"Washington Heights",26493,27405,72359
"74",74,"Mount Greenwood",19093,3794,13787
"75",75,"Morgan Park",22544,16965,49028
"76",76,"O'Hare",12756,5296,33951
"77",77,"Edgewater",56521,18822,60086
